City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,Zhuhai,CN,69.71,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
317,Armidale,AU,78.82,clear sky,-30.5167,151.65,Abbotsleigh Motor Inn
318,Umm Lajj,SA,60.62,clear sky,25.0213,37.2685,Moon light Furnished Units
319,Promissao,BR,68.45,overcast clouds,-21.5367,-49.8581,Recanto Monte Cristo
320,Kroya,ID,91.2,broken clouds,-7.6331,109.2461,RUSTANTO Fam
321,Tocopilla,CL,66.58,few clouds,-22.092,-70.1979,Hotel Galvarino
322,Pitimbu,BR,72.19,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
323,Tomatlan,MX,65.44,few clouds,19.9333,-105.25,El Salvial
324,Taquari,BR,68.02,clear sky,-29.7997,-51.8644,Martins Hotel
325,Gympie,AU,81.32,broken clouds,-26.1898,152.665,Mary River Motor Inn
326,Baghmara,IN,64.98,clear sky,23.795,86.2085,Shankar tea shop
327,Caravelas,BR,75.18,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
328,Wanning,CN,75.38,overcast clouds,18.8003,110.3967,Paradise Hotel
329,Olinda,BR,73.13,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
330,Ouadda,CF,64.51,broken clouds,8.0777,22.4007,
331,Dicabisagan,PH,83.12,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
332,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
333,Grand Gaube,MU,85.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
334,Madang,PG,78.85,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
335,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
336,Manacapuru,BR,75.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
337,Sibolga,ID,86.92,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
338,Angoram,PG,80.55,overcast clouds,-4.0625,144.0661,
339,Ialibu,PG,63.23,overcast clouds,-6.2821,143.9935,Eastwood Guesthouse
