City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
45,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
46,Sawakin,SD,67.23,overcast clouds,19.1059,37.3321,فندق الدويم
47,Cairns,AU,85.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
48,Mahibadhoo,MV,82.09,broken clouds,3.7833,72.9667,Omadhoo Inn
49,Semporna,MY,89.8,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
50,Sorong,ID,81.61,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
51,Oranjemund,,62.67,few clouds,-28.55,16.4333,The Fisherman's Cove
52,Matara,LK,84.22,few clouds,5.9485,80.5353,Amaloh Boutique Resort
53,Taclobo,PH,81.28,scattered clouds,12.3074,122.586,Seabreeze Inn
54,Itaguai,BR,74.88,mist,-22.8522,-43.7753,It Grande Hotel Itaguai
55,Sampit,ID,80.46,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
56,San Cristobal,VE,69.98,clear sky,7.7669,-72.225,Posada Villaven C.A.
57,Adrar,MR,70.92,overcast clouds,20.5022,-10.0711,
58,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
59,Kavieng,PG,83.5,light rain,-2.5744,150.7967,Nusa Island Retreat
60,Tual,ID,84.51,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
61,Faanui,PF,81.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
62,Chicama,PE,64.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
63,Mineiros,BR,68.05,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
64,Lucapa,AO,64.65,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
65,Benguela,AO,76.15,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
66,Dingle,PH,87.13,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
67,Kruisfontein,ZA,64.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
68,Manaus,BR,77.49,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
69,Miyang,CN,64.08,clear sky,24.4042,103.4428,Huibinlou Hotel
70,Irituia,BR,71.4,overcast clouds,-1.7711,-47.4381,Hotel Irituia
71,Cidreira,BR,69.28,scattered clouds,-30.1811,-50.2056,Hotel Castelo
72,Tsiroanomandidy,MG,72.09,scattered clouds,-18.7667,46.0333,Hotel Ravinala
73,Tabuk,PH,80.19,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
74,Dunedin,NZ,68.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
75,Harrai,IN,65.35,clear sky,22.6167,79.2167,काव्या बुटिक
76,Vanimo,PG,83.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
77,Dhari,IN,71.6,scattered clouds,21.3333,71.0167,Anand pan & coldrinks
78,Alibag,IN,80.67,scattered clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
79,Thinadhoo,MV,80.74,broken clouds,0.5333,72.9333,
80,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
81,Kambove,CD,61.5,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
82,Aripuana,BR,72.05,light rain,-9.1667,-60.6333,
83,Merauke,ID,86.02,overcast clouds,-8.4667,140.3333,
84,Dabakala,CI,71.37,few clouds,8.3667,-4.4333,Hôtel Campement
85,Luderitz,,66.15,clear sky,-26.6481,15.1594,Lüderitz Nest Hotel
86,Serenje,ZM,62.87,light rain,-13.2325,30.2352,The Kabaso's
87,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hostel Del Puerto
88,Kaitangata,NZ,63.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
89,Touros,BR,70.7,heavy intensity rain,-5.1989,-35.4608,INN NEW HORIZON
90,Ubud,ID,85.32,overcast clouds,-8.5098,115.2654,Maya Ubud Resort & Spa
91,Nabire,ID,84.97,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
92,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
93,Esperance,AU,91.24,clear sky,-33.8667,121.9,Hospitality Esperance
94,Camopi,GF,69.93,broken clouds,3.1655,-52.3158,La pousada
95,Port Moresby,PG,90.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
96,Tonantins,BR,72.99,moderate rain,-2.8731,-67.8022,Hotel Rei Davi
97,Ambilobe,MG,79.23,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
98,Taltal,CL,64.96,clear sky,-25.4,-70.4833,Residencial Karime
99,Paraiso,CR,63.88,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
100,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
101,San Marcos,US,61.32,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
102,Huarmey,PE,70.23,overcast clouds,-10.0681,-78.1522,Hotel Miramar
103,Waipawa,NZ,70.43,clear sky,-41.4122,175.5153,Tora Coastal Walk
104,Victoria,HK,70.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
105,Ngudu,TZ,66.27,overcast clouds,-2.9667,33.3333,Majani Classic Lodge
106,Machali,CL,61.34,clear sky,-34.1833,-70.6667,Mining House
107,Bandarbeyla,SO,75.13,overcast clouds,9.4942,50.8122,JABIR HOTEL
108,Asosa,ET,60.87,clear sky,10.0667,34.5333,Blendana Hotel Assosa
109,Carnarvon,AU,86.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
110,Barra Do Garcas,BR,70.09,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
111,Kasongo-Lunda,CD,69.28,overcast clouds,-6.4667,16.8167,
112,Tshela,CD,71.53,overcast clouds,-4.9833,12.9333,Hotel Mirador
113,Sawtell,AU,80.62,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
114,Mount Gambier,AU,72.27,scattered clouds,-37.8333,140.7667,The Commodore
115,Manokwari,ID,82.69,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
116,Puerto Escondido,MX,76.14,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
117,Kulim,MY,90.93,scattered clouds,5.365,100.5618,Hotel Kulim
118,Calvinia,ZA,66.07,clear sky,-31.4707,19.776,Die Lemoenhuis
119,Port Elizabeth,ZA,67.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
120,Sinnamary,GF,75.04,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
121,Labuhan,ID,84.99,overcast clouds,-6.8844,112.2051,DoubleFAG
