City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Tabuk,PH,17.4189,121.4443,80.19,79,100,2.19,overcast clouds
134,Ivanivka,UA,46.7208,34.553,30.11,95,79,9.84,broken clouds
135,Dunedin,NZ,-45.8742,170.5036,68.81,60,100,1.01,overcast clouds
136,Verkhoyansk,RU,67.5447,133.385,-25.94,99,98,2.51,overcast clouds
137,Olafsvik,IS,64.8945,-23.7142,26.87,59,21,15.46,few clouds
138,Korla,CN,41.7597,86.1469,26.46,51,2,6.02,clear sky
139,Harrai,IN,22.6167,79.2167,65.35,25,0,3.6,clear sky
140,Vanimo,PG,-2.6741,141.3028,83.71,73,87,7.27,overcast clouds
141,San Quintin,MX,30.4833,-115.95,59.11,51,21,2.55,few clouds
142,Jamestown,US,42.097,-79.2353,11.52,85,100,11.5,overcast clouds
143,Dhari,IN,21.3333,71.0167,71.6,22,31,8.41,scattered clouds
144,Alibag,IN,18.6411,72.8792,80.67,34,41,7.0,scattered clouds
145,Mnogovershinnyy,RU,53.9353,139.9242,-6.07,75,4,5.19,clear sky
146,Thinadhoo,MV,0.5333,72.9333,80.74,67,67,8.59,broken clouds
147,Novokruchininskiy,RU,51.7833,113.7667,-6.07,73,22,3.87,few clouds
148,Naze,JP,28.3667,129.4833,56.32,84,100,8.79,overcast clouds
149,Lufilufi,WS,-13.8745,-171.5986,83.98,74,18,17.31,light rain
150,Yerazgavors,AM,40.7,43.75,-5.03,71,93,0.0,overcast clouds
151,Sinj,HR,43.7036,16.6394,39.09,66,26,5.19,scattered clouds
152,Kambove,CD,-10.8764,26.5969,61.5,96,96,2.17,overcast clouds
153,Aripuana,BR,-9.1667,-60.6333,72.05,99,100,3.4,light rain
154,Merauke,ID,-8.4667,140.3333,86.02,66,100,8.88,overcast clouds
155,Nongstoin,IN,25.5167,91.2667,57.61,39,0,2.42,clear sky
156,Bam,IR,29.106,58.357,51.67,31,33,3.2,scattered clouds
157,Dabakala,CI,8.3667,-4.4333,71.37,45,14,2.37,few clouds
158,Luderitz,NA,-26.6481,15.1594,66.15,75,0,19.73,clear sky
159,Serenje,ZM,-13.2325,30.2352,62.87,97,100,2.59,light rain
160,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,3.44,clear sky
161,Luhyny,UA,51.082,28.4006,26.92,90,99,16.8,overcast clouds
162,Kaitangata,NZ,-46.2817,169.8464,63.93,72,99,8.28,overcast clouds
163,Touros,BR,-5.1989,-35.4608,70.7,84,100,7.34,heavy intensity rain
164,Nikolskoye,RU,59.7035,30.7861,24.69,98,95,4.72,overcast clouds
165,Ubud,ID,-8.5098,115.2654,85.32,67,99,3.65,overcast clouds
166,Nabire,ID,-3.3667,135.4833,84.97,68,97,6.42,overcast clouds
167,Nanortalik,GL,60.1432,-45.2371,27.03,81,100,13.06,light snow
168,Stokmarknes,NO,68.5646,14.9108,29.5,68,97,8.37,overcast clouds
169,Alofi,NU,-19.0595,-169.9187,78.69,94,72,5.75,broken clouds
170,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,100,19.57,overcast clouds
171,Fortuna,US,40.5982,-124.1573,46.09,87,0,8.05,clear sky
172,Esperance,AU,-33.8667,121.9,91.24,46,0,16.31,clear sky
173,Camopi,GF,3.1655,-52.3158,69.93,100,58,2.24,broken clouds
174,San Jose,US,37.3394,-121.895,57.2,65,75,0.0,broken clouds
175,Deputatskiy,RU,69.3,139.9,-22.27,96,86,1.39,overcast clouds
176,Port Moresby,PG,-9.4431,147.1797,90.82,55,40,10.25,haze
177,Makubetsu,JP,45.3714,141.8211,17.31,79,75,16.11,broken clouds
178,Geraldton,AU,-28.7667,114.6,102.61,24,0,16.11,clear sky
179,Tonantins,BR,-2.8731,-67.8022,72.99,99,96,2.39,moderate rain
180,Ambilobe,MG,-13.2,49.05,79.23,80,85,1.45,overcast clouds
181,Aswan,EG,24.0934,32.907,42.1,60,0,6.91,clear sky
182,Yumen,CN,40.2833,97.2,28.24,29,3,14.47,clear sky
183,Taltal,CL,-25.4,-70.4833,64.96,81,7,1.36,clear sky
184,Najran,SA,17.4924,44.1277,52.45,27,88,2.33,overcast clouds
185,Cardston,CA,49.2,-113.3019,38.88,28,100,8.05,overcast clouds
186,Paraiso,CR,9.8383,-83.8656,63.88,99,92,2.59,overcast clouds
187,Emba,KZ,48.8264,58.1442,9.48,95,99,3.49,overcast clouds
188,Tondano,ID,1.3038,124.9112,78.89,69,97,2.64,overcast clouds
189,San Marcos,US,33.1434,-117.1661,61.32,21,0,3.0,clear sky
190,Klaksvik,FO,62.2266,-6.589,40.12,98,100,25.37,overcast clouds
191,Huarmey,PE,-10.0681,-78.1522,70.23,84,100,6.82,overcast clouds
192,Beloye,UA,48.4952,39.0505,32.85,90,100,13.06,light snow
193,Waipawa,NZ,-41.4122,175.5153,70.43,41,3,2.37,clear sky
194,Victoria,HK,22.2855,114.1577,70.97,82,95,3.0,overcast clouds
195,Ngudu,TZ,-2.9667,33.3333,66.27,79,87,1.72,overcast clouds
196,Palmer,US,42.1584,-72.3287,29.21,73,100,1.01,overcast clouds
197,Kungurtug,RU,50.5994,97.5228,-5.64,90,40,1.66,scattered clouds
198,Machali,CL,-34.1833,-70.6667,61.34,77,0,2.35,clear sky
199,Sitka,US,57.0531,-135.33,42.69,81,100,13.8,light rain
200,Barcelos,PT,41.5388,-8.6151,40.28,65,0,6.35,clear sky
201,Tynset,NO,62.2759,10.7824,28.02,93,100,7.0,overcast clouds
202,Ziro,IN,27.6333,93.8333,47.14,33,0,1.72,clear sky
203,Yar-Sale,RU,66.8333,70.8333,-6.03,97,98,7.78,overcast clouds
204,Clyde,US,41.3042,-82.9752,11.82,82,68,6.69,broken clouds
205,Kodiak,US,57.79,-152.4072,26.11,68,100,18.41,light snow
206,Wasilla,US,61.5814,-149.4394,30.18,62,0,25.32,clear sky
207,Bandarbeyla,SO,9.4942,50.8122,75.13,67,87,18.03,overcast clouds
208,Asosa,ET,10.0667,34.5333,60.87,47,0,6.49,clear sky
209,Ostrovnoy,RU,68.0531,39.5131,13.15,92,98,10.38,overcast clouds
210,Sistranda,NO,63.7256,8.834,42.91,86,100,29.3,overcast clouds
211,Igarka,RU,67.4667,86.5833,-0.89,95,100,16.28,overcast clouds
212,Leh,IN,34.1667,77.5833,5.7,83,53,2.42,broken clouds
213,Ravar,IR,31.2656,56.8055,44.51,26,98,2.17,overcast clouds
214,Carnarvon,AU,-24.8667,113.6333,86.07,58,1,18.41,clear sky
215,Barra Do Garcas,BR,-15.89,-52.2567,70.09,98,88,3.27,overcast clouds
216,Saldanha,ZA,-33.0117,17.9442,59.05,77,0,9.8,clear sky
217,Kasongo-Lunda,CD,-6.4667,16.8167,69.28,89,100,1.68,overcast clouds
218,Tshela,CD,-4.9833,12.9333,71.53,97,95,0.36,overcast clouds
219,Saint-Augustin,CA,51.226,-58.6502,3.2,86,100,10.83,overcast clouds
