City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
43,Castro,-24.7911,-50.0119,61.0,99,100,7.47,BR,2022-01-28 22:10:39
44,Dikson,73.5069,80.5464,3.24,94,100,18.63,RU,2022-01-28 22:14:30
45,Qaanaaq,77.484,-69.3632,-12.82,61,5,8.46,GL,2022-01-28 22:14:30
46,Gbadolite,4.2833,21.0167,74.55,30,6,1.23,CD,2022-01-28 22:14:31
47,Port Elizabeth,-33.918,25.5701,65.1,82,75,12.66,ZA,2022-01-28 22:14:31
48,Airai,-8.9266,125.4092,60.42,92,100,2.82,TL,2022-01-28 22:14:32
49,Nanortalik,60.1432,-45.2371,25.43,84,100,7.74,GL,2022-01-28 22:12:20
50,Jamestown,42.097,-79.2353,19.09,59,100,4.0,US,2022-01-28 22:14:32
51,Hobart,-42.8794,147.3294,65.26,77,40,16.11,AU,2022-01-28 22:14:33
52,Novosheshminsk,55.0651,51.2338,17.89,91,100,6.2,RU,2022-01-28 22:14:33
53,Wasilla,61.5814,-149.4394,28.29,75,100,0.0,US,2022-01-28 22:14:33
54,Ushuaia,-54.8,-68.3,64.06,48,40,2.3,AR,2022-01-28 22:11:34
55,Taltal,-25.4,-70.4833,68.32,73,31,7.11,CL,2022-01-28 22:12:20
56,Lugoba,-6.45,38.3333,71.83,97,98,3.22,TZ,2022-01-28 22:14:34
57,Half Moon Bay,37.4636,-122.4286,70.59,44,0,5.75,US,2022-01-28 22:14:35
58,Hilo,19.7297,-155.09,78.8,80,21,7.0,US,2022-01-28 22:11:58
59,Cabo San Lucas,22.8909,-109.9124,82.62,54,0,8.01,MX,2022-01-28 22:14:35
60,Mulchen,-37.7167,-72.2333,73.26,23,0,8.79,CL,2022-01-28 22:14:35
61,Bethel,41.3712,-73.414,31.17,85,100,2.93,US,2022-01-28 22:14:36
62,Sisimiut,66.9395,-53.6735,18.19,75,100,16.96,GL,2022-01-28 22:14:36
63,Husavik,66.0449,-17.3389,28.31,92,92,36.69,IS,2022-01-28 22:14:36
64,Tasiilaq,65.6145,-37.6368,12.36,69,59,6.73,GL,2022-01-28 22:10:22
65,Muisne,0.6,-80.0333,78.91,87,80,6.62,EC,2022-01-28 22:09:41
66,Georgetown,5.4112,100.3354,81.9,87,20,0.0,MY,2022-01-28 22:11:25
67,Batu,-7.87,112.5283,66.85,93,100,1.14,ID,2022-01-28 22:14:37
68,Barrow,71.2906,-156.7887,-9.38,70,100,14.97,US,2022-01-28 22:14:38
69,Fortuna,40.5982,-124.1573,65.86,36,20,0.0,US,2022-01-28 22:12:16
70,Gornyy,55.1153,83.9059,-7.19,100,98,4.36,RU,2022-01-28 22:14:38
71,Adrar,20.5022,-10.0711,73.54,12,100,2.59,MR,2022-01-28 22:14:39
72,Kismayo,-0.3582,42.5454,77.32,81,84,14.99,SO,2022-01-28 22:14:39
73,Hermanus,-34.4187,19.2345,62.8,76,0,11.07,ZA,2022-01-28 22:12:12
74,Karratha,-20.7377,116.8463,78.31,73,32,8.86,AU,2022-01-28 22:14:40
75,Christiana,-27.914,25.1611,69.93,63,43,6.11,ZA,2022-01-28 22:14:40
76,Sao Filipe,14.8961,-24.4956,71.71,70,93,11.07,CV,2022-01-28 22:12:18
77,Ribeira Grande,38.5167,-28.7,58.89,61,72,7.85,PT,2022-01-28 22:14:41
78,Altayskoye,51.9533,85.3325,1.09,82,17,6.2,RU,2022-01-28 22:14:41
79,Khatanga,71.9667,102.5,-1.62,87,100,5.01,RU,2022-01-28 22:14:41
80,Lorengau,-2.0226,147.2712,81.48,82,100,6.22,PG,2022-01-28 22:14:42
81,Victoria,22.2855,114.1577,66.38,87,81,4.0,HK,2022-01-28 22:12:28
82,Saint-Philippe,-21.3585,55.7679,74.79,74,10,5.44,RE,2022-01-28 22:14:42
83,Chuy,-33.6971,-53.4616,68.7,64,56,7.38,UY,2022-01-28 22:14:43
84,San Juan,-31.5375,-68.5364,88.18,32,8,11.01,AR,2022-01-28 22:10:42
85,Ancud,-41.8697,-73.8203,76.53,62,0,9.53,CL,2022-01-28 22:14:43
86,Severo-Kurilsk,50.6789,156.125,23.83,83,100,29.46,RU,2022-01-28 22:14:49
87,Bonavista,48.6499,-53.1147,27.12,70,100,14.16,CA,2022-01-28 22:12:40
88,Aquiraz,-3.9014,-38.3911,77.22,93,100,9.91,BR,2022-01-28 22:14:49
89,Ponta Do Sol,32.6667,-17.1,61.72,60,68,7.49,PT,2022-01-28 22:12:15
90,Vannes,47.8333,-2.5,47.66,84,57,3.24,FR,2022-01-28 22:14:50
